strategy,refiner,GCD,f1
Chain-of-Thought,GPT-3.5-Turbo,False,0.5189130887156941
LogicLM,GPT-3.5-Turbo,False,0.6245893142345661
GGLLM,GPT-3.5-Turbo,False,0.6003316099536922
GGLLM,Llama 2 7b,False,0.6151070318532162
GGLLM,Llama 2 7b,True,0.5754710735003015
GGLLM,Llama 2 7b (fine-tuned),False,0.6194177641151528
GGLLM,Llama 2 7b (fine-tuned),True,0.5773725092822953
GGLLM,Llama 2 13b,False,0.619637503561445
GGLLM,Llama 2 13b,True,0.6012581125813935
GGLLM,Llama 2 13b (fine-tuned),False,0.6271202958869092
GGLLM,Llama 2 13b (fine-tuned),True,0.5798660927699965
GGLLM,Llama 3 8b,False,0.6175466176891375
GGLLM,Llama 3 8b,True,0.5859609098760298
GGLLM,Llama 3 8b (fine-tuned),False,0.6148337496239629
GGLLM,Llama 3 8b (fine-tuned),True,0.6103563759250231
