strategy,refiner,GCD,f1
Chain-of-Thought,GPT-3.5-Turbo,False,0.5189130887156941
LogicLM,GPT-3.5-Turbo,False,0.48717505674875805
GGLLM,GPT-3.5-Turbo,False,0.5012634147905799
GGLLM,Llama 2 7b,False,0.49534207225030435
GGLLM,Llama 2 7b,True,0.5040012413859797
GGLLM,Llama 2 7b (fine-tuned),False,0.49627000863347953
GGLLM,Llama 2 7b (fine-tuned),True,0.49610920855483015
GGLLM,Llama 2 13b,False,0.4961472670577452
GGLLM,Llama 2 13b,True,0.5052559788441872
GGLLM,Llama 2 13b (fine-tuned),False,0.4993545012471274
GGLLM,Llama 2 13b (fine-tuned),True,0.49697704469010784
GGLLM,Llama 3 8b,False,0.49777146486914575
GGLLM,Llama 3 8b,True,0.5127479423583042
GGLLM,Llama 3 8b (fine-tuned),False,0.5016398364812381
GGLLM,Llama 3 8b (fine-tuned),True,0.5046819934405032
Chain-of-Thought,GPT-4o,False,0.716094898101639
LogicLM,GPT-4o,False,0.055886334309732784
GGLLM,GPT-4o,False,0.6742993130954487
GGLLM,Llama 2 7b,False,0.6726456915931435
GGLLM,Llama 2 7b,True,0.6772665023764751
GGLLM,Llama 2 7b (fine-tuned),False,0.6745838325929011
GGLLM,Llama 2 7b (fine-tuned),True,0.6898864897803015
GGLLM,Llama 2 13b,False,0.6758664628723187
GGLLM,Llama 2 13b,True,0.6820543798272309
GGLLM,Llama 2 13b (fine-tuned),False,0.6769075686800127
GGLLM,Llama 2 13b (fine-tuned),True,0.684019369657976
GGLLM,Llama 3 8b,False,0.6793484640544069
GGLLM,Llama 3 8b,True,0.6743171107805336
GGLLM,Llama 3 8b (fine-tuned),False,0.6739440791164614
GGLLM,Llama 3 8b (fine-tuned),True,0.6739040104179161
