strategy,refiner,GCD,f1,executable_f1,executable_rate
LogicLM,GPT-3.5-Turbo,False,0.6245893142345661,0.63444136819131,0.6274509803921569
GGLLM,GPT-3.5-Turbo,False,0.6003316099536922,0.5966755926746042,0.7426108374384236
GGLLM,Llama 2 7b,False,0.6151070318532162,0.6015602761873574,0.7257799671592776
GGLLM,Llama 2 7b,True,0.5754710735003015,0.5601496700234301,0.8357963875205255
GGLLM,Llama 2 7b (fine-tuned),False,0.6194177641151528,0.6071561259223733,0.7142857142857143
GGLLM,Llama 2 7b (fine-tuned),True,0.5773725092822953,0.5523585743435294,0.8325123152709359
GGLLM,Llama 2 13b,False,0.619637503561445,0.6096196037428091,0.7093596059113301
GGLLM,Llama 2 13b,True,0.6012581125813935,0.5709575881921681,0.812807881773399
GGLLM,Llama 2 13b (fine-tuned),False,0.6271202958869092,0.6078226185913377,0.7192118226600984
GGLLM,Llama 2 13b (fine-tuned),True,0.5798660927699965,0.552729964642977,0.8357963875205255
GGLLM,Llama 3 8b,False,0.6175466176891375,0.6073680930302072,0.7175697865353038
GGLLM,Llama 3 8b,True,0.5859609098760298,0.5690580040117071,0.8341543513957307
GGLLM,Llama 3 8b (fine-tuned),False,0.6148337496239629,0.6106049848286043,0.7175697865353038
GGLLM,Llama 3 8b (fine-tuned),True,0.6103563759250231,0.5889004914249788,0.7684729064039408
