strategy,refiner,GCD,f1,executable_f1,executable_rate
GGLLM,Llama 2 7b,False,0.7339425002185829,0.7221842379998374,0.8784893267651889
GGLLM,Llama 2 7b,True,0.7251715952571747,0.7084921675213072,0.9195402298850576
GGLLM,Llama 2 7b (fine-tuned),False,0.7377554007578723,0.7244265460958826,0.8784893267651889
GGLLM,Llama 2 7b (fine-tuned),True,0.7329618241832542,0.7151692081197072,0.9392446633825945
GGLLM,Llama 2 13b,False,0.7388452124639112,0.7282290606191508,0.8735632183908045
GGLLM,Llama 2 13b,True,0.7312675800003566,0.7105691385234633,0.9277504105090312
GGLLM,Llama 2 13b (fine-tuned),False,0.7424249774768636,0.7299286852792597,0.8719211822660098
GGLLM,Llama 2 13b (fine-tuned),True,0.7316138582637904,0.7155035127712498,0.9228243021346468
GGLLM,Llama 3 8b,False,0.7428280938333668,0.7300508302876771,0.8768472906403941
GGLLM,Llama 3 8b,True,0.7123252637168971,0.7002894001921551,0.9326765188834155
GGLLM,Llama 3 8b (fine-tuned),False,0.7408111509570978,0.7263298228158025,0.8735632183908045
GGLLM,Llama 3 8b (fine-tuned),True,0.7306824636881148,0.7094062433782883,0.9129720853858784
GGLLM,GPT-4o,False,0.7528349649906714,0.7348574979393857,0.8555008210180622
