strategy,refiner,GCD,f1,executable_f1,executable_rate
LogicLM,GPT-3.5-Turbo,False,0.0039551119888506,0.3333333333333333,0.0040026684456304
GGLLM,Llama 2 13b,False,0.21338377355747395,0.23110160752041162,0.8488888888888889
GGLLM,Llama 2 13b,True,0.21545024204327626,0.2227815239541877,0.9273333333333333
GGLLM,Llama 2 13b (fine-tuned),False,0.21617603846860664,0.22902786972963682,0.8842222222222222
GGLLM,Llama 2 13b (fine-tuned),True,0.21508911640491926,0.222552253914276,0.9266666666666666
GGLLM,Llama 3 8b,False,0.21492048618519635,0.23269971263898306,0.8495555555555555
GGLLM,Llama 3 8b,True,0.2169816919700528,0.22448202768982095,0.9277777777777777
GGLLM,Llama 3 8b (fine-tuned),False,0.21625842238168916,0.22907268683093174,0.8853333333333334
GGLLM,Llama 3 8b (fine-tuned),True,0.21568357242289204,0.2229019766491697,0.9275555555555556

GGLLM,Llama 2 7b (fine-tuned),False,0.2186757869358257,0.23149088848236168,0.888888888888889
GGLLM,Llama 2 7b (fine-tuned),True,0.21618619594050703,0.22384423655184635,0.926888888888889
GGLLM,Llama 2 7b,False,0.2133524373058173,0.23115799358085573,0.8488888888888889
GGLLM,Llama 2 7b,True,0.21373694834889936,0.22100731787393021,0.9271111111111111
Chain-of-Thought,GPT-3.5-Turbo,False,0.35772103487779033,,
GGLLM,GPT-3.5-Turbo,False,0.21341901275372888,0.22431648840429944,0.8962222222222221
