strategy,refiner,GCD,f1,executable_f1,executable_rate
GGLLM,Llama 2 13b,False,0.503081046283489,0.48259520177339454,0.9246334593432658
GGLLM,Llama 2 13b,True,0.4759471245514089,0.4726805161613914,0.989995552590616
GGLLM,Llama 2 13b (fine-tuned),False,0.4923890732401454,0.476868008587591,0.9441976132236306
GGLLM,Llama 2 13b (fine-tuned),True,0.47713554687554244,0.47387955999747583,0.989995552590616
GGLLM,Llama 3 8b,False,0.503081046283489,0.48259520177339454,0.9246334593432658
GGLLM,Llama 3 8b,True,0.47112282393862054,0.467783325077799,0.989995552590616
GGLLM,Llama 3 8b (fine-tuned),False,0.49454120103970717,0.47801924085512004,0.941307241864947
GGLLM,Llama 3 8b (fine-tuned),True,0.4778813670510114,0.474641675474815,0.989995552590616
GGLLM,Llama 2 7b (fine-tuned),False,0.4962031519715438,0.4790896572806493,0.9355270921354978
GGLLM,Llama 2 7b (fine-tuned),True,0.4775897051627647,0.4743385860659402,0.989995552590616
GGLLM,Llama 2 7b,False,0.503081046283489,0.48259520177339454,0.9246334593432658
GGLLM,Llama 2 7b,True,0.4758763001241837,0.47261036404009354,0.989995552590616
GGLLM,GPT-4o,False,0.503081046283489,0.48259520177339454,0.9246334593432658
