strategy,refiner,GCD,f1,executable_f1,executable_rate
LogicLM,GPT-3.5-Turbo,False,0.355825956635964,0.3333333333333333,0.0040026684456304
GGLLM,Llama 2 13b,False,0.26180355117374315,0.23110160752041162,0.8488888888888889
GGLLM,Llama 2 13b,True,0.24213010677012292,0.2227815239541877,0.9273333333333333
GGLLM,Llama 2 13b (fine-tuned),False,0.2554726385461085,0.22902786972963682,0.8842222222222222
GGLLM,Llama 2 13b (fine-tuned),True,0.24224747113671363,0.222552253914276,0.9266666666666666
GGLLM,Llama 3 8b,False,0.2638518994655648,0.23269971263898306,0.8495555555555555
GGLLM,Llama 3 8b,True,0.2435803162867475,0.22448202768982095,0.9277777777777777
GGLLM,Llama 3 8b (fine-tuned),False,0.25583324564458665,0.22907268683093174,0.8853333333333334
GGLLM,Llama 3 8b (fine-tuned),True,0.24307115454033604,0.2229019766491697,0.9275555555555556
Chain-of-Thought,GPT-3.5-Turbo,False,0.35772103487779033,,
GGLLM,GPT-3.5-Turbo,False,0.25130742798434796,0.22431648840429944,0.8962222222222221
GGLLM,Llama 2 7b (fine-tuned),False,0.25708869405481266,0.23149088848236168,0.888888888888889
GGLLM,Llama 2 7b (fine-tuned),True,0.24426115921639843,0.22384423655184635,0.926888888888889
GGLLM,Llama 2 7b,False,0.26211227080396615,0.23115799358085573,0.8488888888888889
GGLLM,Llama 2 7b,True,0.24067301532100535,0.22100731787393021,0.9271111111111111
