strategy,refiner,GCD,f1,executable_f1,executable_rate
Chain-of-Thought,GPT-4o,False,0.7263026921355337,,
GGLLM,Llama 3 8b,False,0.46230041337573463,0.48259520177339454,0.9246334593432658
GGLLM,Llama 3 8b,True,0.46523823577538276,0.467783325077799,0.989995552590616
GGLLM,Llama 3 8b (fine-tuned),False,0.46257194035938215,0.47801924085512004,0.941307241864947
GGLLM,Llama 3 8b (fine-tuned),True,0.47206685470712256,0.474641675474815,0.989995552590616
GGLLM,Llama 2 13b,False,0.46230041337573463,0.48259520177339454,0.9246334593432658
GGLLM,Llama 2 13b,True,0.4701127642877525,0.4726805161613914,0.989995552590616
GGLLM,Llama 2 13b (fine-tuned),False,0.46233558643834877,0.476868008587591,0.9441976132236306
GGLLM,Llama 2 13b (fine-tuned),True,0.47130494156632047,0.47387955999747583,0.989995552590616
GGLLM,Llama 2 7b (fine-tuned),False,0.46210564414315664,0.4790896572806493,0.9355270921354978
GGLLM,Llama 2 7b (fine-tuned),True,0.4717622425780122,0.4743385860659402,0.989995552590616
GGLLM,Llama 2 7b,False,0.46230041337573463,0.48259520177339454,0.9246334593432658
GGLLM,Llama 2 7b,True,0.4700446978135884,0.47261036404009354,0.989995552590616
GGLLM,GPT-4o,False,0.46230041337573463,0.48259520177339454,0.9246334593432658
